Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
aluminium-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_2b3e52bf-bc1d-45e8-8786-73a2ed2dc1bd.png?v=1672658419,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/7_8a7228c2-69a1-4488-bd7e-3d05ff0c9ab7.png?v=1672658419,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/8_5a318e5b-860e-4d7d-9e5c-f0eb2bcade7b.png?v=1672658419,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_7163f708-86d9-4033-b224-a15648b413d7.png?v=1672658419,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baratza-sette-30-grinder,BARATZA SETTE 30 GRINDER,"SPECIALTY COFFEE ASSOCIATION AWARD WINNING GRINDERS - Baratza grinders are preferred by coffee professionals and backed by Baratza’s world-class support. GO-TO ENTRY LEVEL GRINDER - Baratza’s best-selling grinder, with its small footprint, is THE choice for brewing coffee at home. Available in White and Black.",1Zpresso,,Grinder,"",true,Material,Steel,,,,,1140550231110,0.0,shopify,0,deny,manual,476.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/20200701131600_182A7219-01-01_6ef32ab4-1a76-433f-988d-269329f6167b_600x-removebg-preview.png?v=1672658915,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
baratza-sette-30-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_600x-removebg-preview.png?v=1672658915,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baratza-sette-30-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/20200701134301_182A7229-01_11730095-46af-4461-b2ec-f37fdeb06ecd_600x-removebg-preview.png?v=1672658915,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bean-envy-coffee-canister,Bean Envy Coffee Canister,"INSTANTLY TRANSPORT YOURSELF TO YOUR FAVORITE CAFÉ - Bean Envy’s airtight vacuum-sealed coffee canister is carefully crafted with rust-resistant stainless steel providing you with a lifetime of elegance and beauty in your kitchen. This is the perfect vault for storing whole or ground coffee beans, tea, flour, sugar, and more!",Bean,,Accessories,"",true,Color,Grey,,,,,1129550231103,0.0,shopify,53,deny,manual,560.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81Ae5UPtIUL._AC_SL1500_-removebg-preview.png?v=1672651238,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81Ae5UPtIUL._AC_SL1500_-removebg-preview.png?v=1672651238,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
bean-envy-coffee-canister,,,,,,,,,White,,,,,1129550231104,0.0,shopify,75,deny,manual,500.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81bs0X2gDKL._AC_SL1500_-removebg-preview.png?v=1672651238,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81bs0X2gDKL._AC_SL1500_-removebg-preview.png?v=1672651238,kg,,,,,,,,,,,,,,,,,,,
bean-envy-coffee-canister,,,,,,,,,Red,,,,,1129550231105,0.0,shopify,89,deny,manual,557.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81sXoTLhrFL._AC_SL1500_-removebg-preview.png?v=1672651238,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81sXoTLhrFL._AC_SL1500_-removebg-preview.png?v=1672651238,kg,,,,,,,,,,,,,,,,,,,
bean-envy-coffee-canister,,,,,,,,,Blue,,,,,1129550231106,0.0,shopify,90,deny,manual,510.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81uLF_m5qDL._AC_SL1500_-removebg-preview.png?v=1672651238,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81uLF_m5qDL._AC_SL1500_-removebg-preview.png?v=1672651238,kg,,,,,,,,,,,,,,,,,,,
beaten-caffe-strong,Beaten Caffe Strong,"RICH, CREAMY COFFEE, EVERYTIME - A rich, creamy, frothy coffee experience with Sunbean Beaten Caffe. The thick beaten coffee paste gives you your preferred cup of whipped coffee every time vs. your plain instant coffee powder",Sunbean,,Coffee,"",true,Material,Creamy,,,,,1129550231136,0.0,shopify,56,deny,manual,250.00,350.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/714PCxd0VrL._SL1500_-removebg-preview.png?v=1672644511,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/714PCxd0VrL._SL1500_-removebg-preview.png?v=1672644511,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
beaten-caffe-strong,,,,,,,,,Strong,,,,,1129550231137,0.0,shopify,80,deny,manual,300.00,350.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71w1BVZQhhL._SL1500_-removebg-preview.png?v=1672644511,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71w1BVZQhhL._SL1500_-removebg-preview.png?v=1672644511,kg,,,,,,,,,,,,,,,,,,,
beaten-caffe-strong,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71OqcN8586L._SL1500_-removebg-preview.png?v=1672644512,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaten-caffe-strong,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71vwND6WX9L._SL1500_-removebg-preview.png?v=1672644512,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bialetti-moka-lovers-collection-black-3-cups,Bialetti Moka Lovers Collection Black 3 Cups,"Brand Bialetti- Made in Italy. Moka Induction Coffee Maker is suitable for induction (suitable for all hobs- Induction and Gas stove). Bi-layer technology for perfect coffee: the outer steel layer of the boiler ensures operation even on induction hobs, while the internal aluminum layer ensures even heat distribution",Coffee WorkDo,,Mugs,"",true,Color,Red,,,,,1129550231112,0.0,shopify,59,deny,manual,450.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/CWBIILCRD03-removebg-preview.png?v=1672656985,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/CWBIILCRD03-removebg-preview.png?v=1672656985,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
bialetti-moka-lovers-collection-black-3-cups,,,,,,,,,Black,,,,,1129550231113,0.0,shopify,26,deny,manual,426.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/nera-removebg-preview.png?v=1672656986,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/nera-removebg-preview.png?v=1672656986,kg,,,,,,,,,,,,,,,,,,,
bialetti-moka-lovers-collection-black-3-cups,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/Zubehoer-Melitta-Thermobecher-Manchester-United-250ml-6766920-removebg-preview.png?v=1672656986,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bialetti-moka-lovers-collection-black-3-cups,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_6fe25b17-cf73-4e56-a9b6-44a32282bf9c.png?v=1672656986,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burr-coffee-grinder,Burr Coffee Grinder,"effortless grinding: its compact size and ergonomic design make it easier to grind any type of beans. the inner circular design of jar makes all grounds out with no residuals.
italian metal-burr set: the precision-cut hardened &amp; tempered steel burrs have sharp edge-holding capabilities (edge retention); thus, beans are cut not crushed",1Zpresso,,Grinder,"",true,Color,Red,,,,,1129550231181,0.0,shopify,82,deny,manual,356.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_f9e82651-1554-4bdc-a3bd-a8f8d1c454eb.png?v=1672658975,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_f9e82651-1554-4bdc-a3bd-a8f8d1c454eb.png?v=1672658975,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
burr-coffee-grinder,,,,,,,,,Black,,,,,1129550231182,0.0,shopify,0,deny,manual,400.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_311706f9-e87b-48b7-802d-806d7d1b4a3c.png?v=1672658976,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_311706f9-e87b-48b7-802d-806d7d1b4a3c.png?v=1672658976,kg,,,,,,,,,,,,,,,,,,,
burr-coffee-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_bc239164-106c-4f0a-84ee-e9cdd633dbb3.png?v=1672658976,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,Classic French Press,Fine on a durable plunger to Mini ze the number of residual grounds.Made of pre um quality borosilicate glass and stainless steel material for a long-lasting time. Aesthetic design simple yet stylish offers a unique look to integrate with your home.,Benki,,Tools,"",true,Size,765 Grams,,,,,1129550231112,0.0,shopify,45,deny,manual,256.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_60927f68-e0c9-4a5f-bcbc-374e0cecc257.png?v=1672643296,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_60927f68-e0c9-4a5f-bcbc-374e0cecc257.png?v=1672643296,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
classic-french-press,,,,,,,,,900 Grams,,,,,1129550231113,0.0,shopify,78,deny,manual,300.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_e1c71fd1-f2bc-4753-a873-aad87b06fc48.png?v=1672643297,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_e1c71fd1-f2bc-4753-a873-aad87b06fc48.png?v=1672643297,kg,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_8e719658-b973-4939-b992-6082cabd4406.png?v=1672643297,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_d863b45d-ec79-495b-bf8c-13a082e92f66.png?v=1672643297,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_5221043f-f555-4421-a357-04f7a0f5a16e.png?v=1672643297,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_4c91b8cb-18fe-493a-a06a-216d88a18124.png?v=1672643297,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/7.png?v=1672643297,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-french-press,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/8.png?v=1672643297,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-overnight-cold-brew-bags,Classic Overnight Cold Brew Bags,"GREAT TASTING COFFEE MADE EASY - Brewing a cup of coffee from plain coffee grounds has never been easier. All natural - No artificial flavouring or preservatives. Mess-free and no cleaning of bulky equipment required.
CONVENIENT &amp; ECO-FRIENDLY - Not instant coffee, but coffee instantly. ",Beanly,,Coffee,"",true,Material,Classic,,,,,1129550231124,0.0,shopify,56,deny,manual,230.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_7a3c9a87-a0c8-403a-9400-efaec88f0016.png?v=1672644238,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_7a3c9a87-a0c8-403a-9400-efaec88f0016.png?v=1672644238,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
classic-overnight-cold-brew-bags,,,,,,,,,Drak Roast,,,,,1129550231125,0.0,shopify,160,deny,manual,250.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_21809606-c138-4922-9fcf-03788b6d2a5b.png?v=1672644239,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_21809606-c138-4922-9fcf-03788b6d2a5b.png?v=1672644239,kg,,,,,,,,,,,,,,,,,,,
classic-overnight-cold-brew-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/RAP_5864_1024x1024-removebg-preview.png?v=1672644239,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-overnight-cold-brew-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/RAP_5866_1024x1024-removebg-preview.png?v=1672644239,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-pro-espresso-machine,Classic Pro Espresso Machine,"Rugged Brushed Stainless Steel housing. Commercial three-way solenoid valve. Capacity water tank - 2.1 liter. Commercial-style 58mm chrome-plated brass portability and brew group.
Easy-to-use rocker switch controls",Budan,,Machine,"",true,Color,Black,,,,,1129550231156,0.0,shopify,55,deny,manual,230.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_563aeef5-ab52-451f-8657-af6150521105.png?v=1672654779,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_563aeef5-ab52-451f-8657-af6150521105.png?v=1672654779,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
classic-pro-espresso-machine,,,,,,,,,Grey,,,,,1129550231157,0.0,shopify,45,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_12dc1660-3e1f-4eeb-a425-956891c1e791.png?v=1672654779,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_12dc1660-3e1f-4eeb-a425-956891c1e791.png?v=1672654779,kg,,,,,,,,,,,,,,,,,,,
classic-pro-espresso-machine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_15cc9b3d-4e0e-4a6b-997a-2c4014f6d03f.png?v=1672654779,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-pro-espresso-machine,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_22ab94ed-acac-4ec1-b9a1-658f9e0edf13.png?v=1672654779,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-cafe-specials,Coffee Cafe Specials,This pack contains 7 sachets of Tata Coffee Cafe Specials instant coffee mix. CAFE-STYLE COFFEE MIX: Enjoy Cafe-style frothy coffee at home with an instant coffee mix. Satiate your palate with an aromatic flavor of cappuccino.,TATA,,Coffee,"",true,Material,Cuppuccino,,,,,1129550561112,0.0,shopify,78,deny,manual,530.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51_lWSE15NL._SL1000_-removebg-preview.png?v=1672644074,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51_lWSE15NL._SL1000_-removebg-preview.png?v=1672644074,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-cafe-specials,,,,,,,,,Hazinut,,,,,1129550561113,0.0,shopify,93,deny,manual,458.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61drR_-UWVL._SL1000_-removebg-preview.png?v=1672644074,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61drR_-UWVL._SL1000_-removebg-preview.png?v=1672644074,kg,,,,,,,,,,,,,,,,,,,
coffee-cafe-specials,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61u6Jp4-f8L._SL1000_-removebg-preview.png?v=1672644074,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-canister-6-stainless-steel,Coffee Canister – 6” Stainless Steel,"You pay for prime quality ground and whole coffee beans, so it makes sense to take care of them. This premium stainless steel container will keep your tea and coffee fresh for a long time.",Bean,,Accessories,"",true,Color,Black,,,,,1129550561178,0.0,shopify,78,deny,manual,630.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_6ea37d25-5b98-4ae3-90c2-fae660407b3d.png?v=1672651340,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_6ea37d25-5b98-4ae3-90c2-fae660407b3d.png?v=1672651340,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-canister-6-stainless-steel,,,,,,,,,White,,,,,1129550561179,0.0,shopify,80,deny,manual,586.00,680.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_fb556c84-46dc-433d-99b1-ccd7b494b0e3.png?v=1672651340,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_fb556c84-46dc-433d-99b1-ccd7b494b0e3.png?v=1672651340,kg,,,,,,,,,,,,,,,,,,,
coffee-canister-6-stainless-steel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_39efd54f-e9ba-415f-bd67-83bcc206b853.png?v=1672651341,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-canister-6-stainless-steel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_06764374-ef8a-413b-a43f-754eb79fae16.png?v=1672651686,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-canister-6-stainless-steel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_4c9a3954-7368-4681-8507-6b7d6646743c.png?v=1672651686,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-canister-6-stainless-steel,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_b6a90377-62aa-40c1-9298-22aa8d7abd83.png?v=1672651686,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,Coffee Center 12-Cup Coffeemaker,"12-cup glass carafe with stainless steel handle. Brew Strength Control - select BOLD for a stronger coffee flavor. Gold-tone coffee filter lets only pure coffee flavor flow through. Single-Serve serving sizes: 6, 8, 10 oz",Budan,,Machine,"",true,Color,Black,,,,,1129550561145,0.0,shopify,78,deny,manual,452.00,500.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_6fc30276-0c18-4cc1-b19d-47fd75265456.png?v=1672654255,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_6fc30276-0c18-4cc1-b19d-47fd75265456.png?v=1672654255,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
